pcm_hash,count,paths
ef540bbe601bbdd26c9d8758909dc8e952b56300,2,/Volumes/dotad/ReallyRepaired/Zedbazi - (2019) Zedbazi - 21. Taze Shuru-E Zendegimoone.flac | /Volumes/dotad/ReallyRepaired/Zedbazi - (2019) Zedbazi - 21. Taze Shuru-E Zendegimoone (4).flac
a52b69a2261b2cb770e373ec929798d4574877ce,2,/Volumes/dotad/ReallyRepaired/Fiona Apple - (2025) Pretrial (Let Her Go Home) (single) - 01. Pretrial (Let Her Go Home).flac | /Volumes/dotad/ReallyRepaired/Fiona Apple - (2025) Pretrial (Let Her Go Home) - 01. Pretrial (Let Her Go Home) (1).flac
