repaired,relative,music_exists,repaired_size,music_size,repaired_dur,music_dur,pcm_same,recommendation
/Volumes/dotad/ReallyRepaired/The xx - (2009) Basic Space - 01. Basic Space (Jamie xx Space Bass remix).flac,The xx - (2009) Basic Space - 01. Basic Space (Jamie xx Space Bass remix).flac,False,33483028,,432.586667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Vendredi sur Mer - (2019) Premiers émois - 03. Mon Chagrin.repaired (4).flac,Vendredi sur Mer - (2019) Premiers émois - 03. Mon Chagrin.repaired (4).flac,False,25412348,,219.013333,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Iron & Wine - (2024) Light Verse - 09. Bag of Cats.flac,Iron & Wine - (2024) Light Verse - 09. Bag of Cats.flac,False,71871988,,203.328479,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Jack White - (2022) Entering Heaven Alive - 07. A Tree on Fire From Within.flac,Jack White - (2022) Entering Heaven Alive - 07. A Tree on Fire From Within.flac,False,58798032,,179.958188,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Interprets - (2025) dolly 15YRS - 08. Chasm.flac,Various Interprets - (2025) dolly 15YRS - 08. Chasm.flac,False,74311951,,360.666708,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2009) Dark Was The Night - 01-11. Big Red Machine.repaired (3).flac,Various Artists - (2009) Dark Was The Night - 01-11. Big Red Machine.repaired (3).flac,False,23130009,,278.8,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yaya Bey - (2019) This too... EP - 01. Lullaby (The Start).repaired (2).flac,Yaya Bey - (2019) This too... EP - 01. Lullaby (The Start).repaired (2).flac,False,13290112,,87.0,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/VanJess - (2021) Homegrown - 02. Slow Down.flac,VanJess - (2021) Homegrown - 02. Slow Down.flac,False,49594222,,229.0,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Soapkills - (2017) Enta Fen - 01. Aranis & Koullou Ndif.repaired (2).flac,Soapkills - (2017) Enta Fen - 01. Aranis & Koullou Ndif.repaired (2).flac,False,16724754,,202.106485,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Queen Kwong - (2024) STRANGERS EP - 01. Sympathy For The Devil.flac,Queen Kwong - (2024) STRANGERS EP - 01. Sympathy For The Devil.flac,False,63280419,,272.584563,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2020) Toolroom House Party Vol. 2 - 01-72. Koming (extended mix).repaired (1).flac,Various Artists - (2020) Toolroom House Party Vol. 2 - 01-72. Koming (extended mix).repaired (1).flac,False,45090421,,392.5,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yelle - (2007) Pop-up - 05. Mal poli.repaired.flac,Yelle - (2007) Pop-up - 05. Mal poli.repaired.flac,False,20214765,,174.68,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Tonic Walter - (2025) Gone - 01. Gone.flac,Tonic Walter - (2025) Gone - 01. Gone.flac,False,55930658,,310.0,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Carl Craig - (2007) More Songs About Food and Revolutionary Art - 07. Butterfly.repaired (2).flac,Carl Craig - (2007) More Songs About Food and Revolutionary Art - 07. Butterfly.repaired (2).flac,False,51424540,,450.733333,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/The Felice Brothers - (2024) Valley of Abandoned Songs - 03. New York by Moonlight.flac,The Felice Brothers - (2024) Valley of Abandoned Songs - 03. New York by Moonlight.flac,False,8132683,,40.608,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2018) !Kollections 07: 2018 - 08. Mutant DX.repaired (3).flac,Various Artists - (2018) !Kollections 07: 2018 - 08. Mutant DX.repaired (3).flac,False,2913604,,32.391837,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Gustav Mahler; San Francisco Symphony, Michael Tilson Thomas, Laura Claycomb - (2003) Symphony no. 4 - 02. Symphony no. 4 in G major: II. Im gemächlicher Bewegung. Ohne Hast.flac","Gustav Mahler; San Francisco Symphony, Michael Tilson Thomas, Laura Claycomb - (2003) Symphony no. 4 - 02. Symphony no. 4 in G major: II. Im gemächlicher Bewegung. Ohne Hast.flac",False,167632034,,590.552958,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2020) Toolroom House Party Vol. 2 - 01-38. Pumpin' (extended mix).repaired (1).flac,Various Artists - (2020) Toolroom House Party Vol. 2 - 01-38. Pumpin' (extended mix).repaired (1).flac,False,47042572,,393.244059,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Gorillaz feat. Tame Impala and Bootie Brown - (2022) New Gold (single) - 01. New Gold.flac,Gorillaz feat. Tame Impala and Bootie Brown - (2022) New Gold (single) - 01. New Gold.flac,False,46167851,,215.149773,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Nirvana - (2011) Nevermind - 01. Smells Like Teen Spirit.flac,Nirvana - (2011) Nevermind - 01. Smells Like Teen Spirit.flac,False,227138706,,321.195573,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Vitalic - (2009) Poison Lips - 04. Poison Lips.repaired.flac,Vitalic - (2009) Poison Lips - 04. Poison Lips.repaired.flac,False,31778572,,234.24,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Zoot Woman - (2003) It's Automatic (single) - 01. It's Automatic (Cosmos radio edit).repaired (1).flac,Zoot Woman - (2003) It's Automatic (single) - 01. It's Automatic (Cosmos radio edit).repaired (1).flac,False,23657277,,213.333333,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yaya Bey - (2016) The Many Alter-Egos of Trill'eta Brown EP - 01. A Train (Intro).repaired.flac,Yaya Bey - (2016) The Many Alter-Egos of Trill'eta Brown EP - 01. A Train (Intro).repaired.flac,False,10337499,,84.706395,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Ø - (2025) Sysivalo - 02. Etude 2.repaired.flac,Ø - (2025) Sysivalo - 02. Etude 2.repaired.flac,False,9263422,,154.857687,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Tiga & Hudson Mohawke - (2023) L'Ecstasy - 16. IN ORDER 2.repaired (1).flac,Tiga & Hudson Mohawke - (2023) L'Ecstasy - 16. IN ORDER 2.repaired (1).flac,False,33099775,,290.689002,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2020) Toolroom House Party Vol. 2 - 01-47. Feel (extended mix).repaired.flac,Various Artists - (2020) Toolroom House Party Vol. 2 - 01-47. Feel (extended mix).repaired.flac,False,42443641,,376.0,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Muddy Waters - (2016) Folk Singer - 08. Country Boy.flac,Muddy Waters - (2016) Folk Singer - 08. Country Boy.flac,False,168951328,,231.003979,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Vendredi sur Mer - (2017) Marée basse EP - 03. La Femme à la peau bleue.repaired.flac,Vendredi sur Mer - (2017) Marée basse EP - 03. La Femme à la peau bleue.repaired.flac,False,22740822,,207.386667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Trijntje Oosterhuis & Metropole Orkest - (2005) Falling Out of Love (single) - 01. Falling Out of Love.repaired.flac,Trijntje Oosterhuis & Metropole Orkest - (2005) Falling Out of Love (single) - 01. Falling Out of Love.repaired.flac,False,23236746,,236.037732,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2012) Silver & Gold - 02-23. Even the Earth Will Perish and the Universe Give Way.flac,Sufjan Stevens - (2012) Silver & Gold - 02-23. Even the Earth Will Perish and the Universe Give Way.flac,False,14792639,,110.759184,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Richard Ashcroft - (2016) These People - 03. They Don't Own Me.flac,Richard Ashcroft - (2016) These People - 03. They Don't Own Me.flac,False,76875934,,348.653333,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/merci, mercy - (2022) is it me, or is it you? EP - 02. Winnie Crush.flac","merci, mercy - (2022) is it me, or is it you? EP - 02. Winnie Crush.flac",False,39725180,,174.191188,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/LCD Soundsystem - (2014) The Long Goodbye: LCD Soundsystem live at Madison Square Garden - 22. Yeah.flac,LCD Soundsystem - (2014) The Long Goodbye: LCD Soundsystem live at Madison Square Garden - 22. Yeah.flac,False,256903387,,781.834833,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Vendredi sur Mer - (2019) Premiers émois - 09. Dolan.flac,Vendredi sur Mer - (2019) Premiers émois - 09. Dolan.flac,False,30688810,,251.813333,,NA,COPY->MUSIC
