prefix,count
/Volumes/COMMUNE/R2,1425
/Volumes/COMMUNE/Root,4379
/Volumes/COMMUNE/_PROMOTION_STAGING,858
/Volumes/RECOVERY_TARGET/Root,16672
/Volumes/Vault/RC2,310
/Volumes/Vault/RECOVERED_TRASH,331
/Volumes/Vault/Root,3
/Volumes/Vault/Vault,1819
/Volumes/bad/.dedupe_db,317
/Volumes/bad/FINAL_LIBRARY,20015
/Volumes/bad/_ALL_FLACS_FLAT,18854
/Volumes/bad/_BAD_VS_DOTAD_DISCARDS,1250
