path,size,reported_duration,decoded_duration,sample_rate,channels,pcm_sha1,window_fp_count,stitched,truncated
/Volumes/dotad/Quarantine/New Folder With Items 2/Deep Purple - (1988) Made in Japan - 06. Lazy (2).flac,0,,,,,,0,False,False
/Volumes/dotad/Quarantine/New Folder With Items 2/Charles Mingus - (1963) The Black Saint and the Sinner Lady - 04. Mode D - Trio & Group Dancers  Mode E - Single Solos & Group Dance  Mode F - Group & Solo Dance.flac,0,,,,,,0,False,False
/Volumes/dotad/Quarantine/New Folder With Items 2/John Coltrane - (1989) Live at Birdland - 04. Alabama.flac,0,,,,,,0,False,False
/Volumes/dotad/Quarantine/New Folder With Items 2/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 13. You Oughta Know (Jimmy the Saint Blend)  Your House (a cappella).flac,0,,,,,,0,False,False
