status,reason,music_path,dd_path,m_duration,d_duration,m_size,d_size,m_healthy,d_healthy,m_codec,d_codec
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Wilco/(2009) Summerteeth/Wilco - (2009) Summerteeth - 01-08. How to Fight Loneliness.fixed.flac,,,,63793773,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Wilco/(2009) A.M./Wilco - (2009) A.M. - 02-01. I Must Be High.fixed.flac,,,,33001623,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Sophie Ellis-Bextor/(2024) Murder on the Dancefloor (PNAU remix) (single)/Sophie Ellis-Bextor - (2024) Murder on the Dancefloor (PNAU remix) (single) - 01. Murder on the Dancefloor (PNAU remix).fixed.flac,,,,32992682,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Jack Johnson/(2023) In Between Dub/Jack Johnson - (2023) In Between Dub - 08. Breakdown (Nightmares on Wax mix).salvage.flac,,,,26133790,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/Johnny Cash/(1965) Orange Blossom Special/Johnny Cash - (1965) Orange Blossom Special - 08. When It's Springtime in Alaska (It's Forty Below).fixed.flac,,,,11674342,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_Recovered_from_DUPES_CHECK/BC Camplight/(2025) A Sober Conversation/BC Camplight - (2025) A Sober Conversation - 06. Bubbles in the Gasoline.flac,,,,26685303,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/Altın Gün/(2024) Bir Sigara İç Oğlan (single)/Altın Gün - (2024) Bir Sigara İç Oğlan (single) - 01. Bir Sigara İç Oğlan.flac,,,,25820672,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/Altın Gün/(2019) Gelin Halayı  Dıv Dıv (single)/Altın Gün - (2019) Gelin Halayı  Dıv Dıv (single) - 01. Gelin Helayi.flac,,,,25558528,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/Alice Jemima/(2017) No Diggity (Lauer Remixes)/Alice Jemima - (2017) No Diggity (Lauer Remixes) - 01. No Diggity (Lauer Disco Dub) (1).flac,,,,40772103,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/AJR/(2018) Burn the House Down (single)/AJR - (2018) Burn the House Down (single) - 01. Burn the House Down.flac,,,,27231825,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/Fouk/(2015) Heavy on the Bacon (single)/Fouk - (2015) Heavy on the Bacon (single) - 01. Heavy on the Bacon.flac,,,,50055737,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 06. Disco Star ديسكو ستار (1).flac,,,,34049049,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/El Búho/(2018) Tributaries: A Remix Album/El Búho - (2018) Tributaries: A Remix Album - 10. 3roos Elneel (El Búho remix) (1).flac,,,,27998199,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Alex Tomb/(2008) The Gardens Of Babylon/Alex Tomb - (2008) The Gardens Of Babylon - 03. The Gardens Of Babylon (1).flac,,,,30910749,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Alain Delorme/(2018) Romantique avec toi et autres succès/Alain Delorme - (2018) Romantique avec toi et autres succès - 15. J'ai un petit faible pour toi (1).flac,,,,17997919,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,"/Volumes/dotad/DD/_quarantine_from_gemini/Air/(2015) The Remixes, Vol.1/Air - (2015) The Remixes, Vol.1 - 06. Le soleil est près de moi (Automator remix) (1).flac",,,,38938112,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Alsarah/(2017) Manara Remixed/Alsarah - (2017) Manara Remixed - 03. Salam Nubia (Dj Khalab Remix) (1).flac,,,,27384822,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 05. Ya Watan (Captain Planet Remix) (1).flac,,,,24773325,,,,
MISSING_IN_MUSIC,No basename match found in MUSIC,,/Volumes/dotad/DD/_quarantine_from_gemini/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 02. 3yan T3ban (Oddisee Remix) (1).flac,,,,15715877,,,,
