path,stream_md5,size_bytes
/Volumes/dotad/MUSIC/Prins Thomas/(2017) Apokalypso/Prins Thomas - (2017) Apokalypso - 03. Apokalypso 1.flac,,41942528
/Volumes/dotad/MUSIC/Schlindwein/(2019) Piano & Electronic Ensemble Op. 1/Schlindwein - (2019) Piano & Electronic Ensemble Op. 1 - 03. In Your Eyes  (Vienna Version).flac,,41942528
/Volumes/dotad/MUSIC/WhoMadeWho/(2015) There's a Way (Remixes) (single)/WhoMadeWho - (2015) There's a Way (Remixes) (single) - 02. There's a Way (Jazzuelle remix).flac,,41942528
/Volumes/dotad/MUSIC/Philipp Wolf/(2022) Owls/Philipp Wolf - (2022) Owls - 01. Owls (Edit).flac,,45088256
/Volumes/dotad/MUSIC/Pépite/(2019) Virages/Pépite - (2019) Virages - 08. Zizanie.flac,,45088256
/Volumes/dotad/MUSIC/Pépite/(2024) Les Années Lumière/Pépite - (2024) Les Années Lumière - 04. Les années lumière.flac,,45088256
/Volumes/dotad/MUSIC/Pépite/(2024) Les Années Lumière/Pépite - (2024) Les Années Lumière - 05. Les grands tours.flac,,45088256
/Volumes/dotad/MUSIC/Pépite/(2024) Les Années Lumière/Pépite - (2024) Les Années Lumière - 06. Facile.flac,,45088256
/Volumes/dotad/MUSIC/iNTeRNeT FReNDz/(2024) Warning Signs (single)/iNTeRNeT FReNDz - (2024) Warning Signs (single) - 01. Warning Signs.flac,,45088256
/Volumes/dotad/MUSIC/Philippe Katerine/(XXXX) Remixes/Philippe Katerine - (XXXX) Remixes - 02. Té-lé-phone (vs The Shoes).flac,,20135424
/Volumes/dotad/MUSIC/Wolfgang Tillmans/(2024) Build From Here/Wolfgang Tillmans - (2024) Build From Here - 08. French Lesson.flac,,20135424
/Volumes/dotad/MUSIC/Philippe Lavil/(1987) The Best Of/Philippe Lavil - (1987) The Best Of - 02. Jamaïcaine.flac,,24526336
/Volumes/dotad/MUSIC/Ross Rogen feat. Aaron Moloney/(2018) Free Me/Ross Rogen feat. Aaron Moloney - (2018) Free Me - 01. Free Me.flac,,24526336
/Volumes/dotad/MUSIC/Phoenix Troy/(2020) Kitsuné Musique Mixed by Phoenix Troy/Phoenix Troy - (2020) Kitsuné Musique Mixed by Phoenix Troy - 03. It's Strange (Mixed).flac,,25427968
/Volumes/dotad/MUSIC/Phoenix/(2006) It's Never Been Like That/Phoenix - (2006) It's Never Been Like That - 01. Napoleon Says.flac,,25427968
/Volumes/dotad/MUSIC/Pink Floyd/(2023) Live at BBC 1970: Live Broadcasting/Pink Floyd - (2023) Live at BBC 1970: Live Broadcasting - 02. Fat Old Sun.flac,,25427968
/Volumes/dotad/MUSIC/Prins Thomas/(2017) Prins Thomas 5/Prins Thomas - (2017) Prins Thomas 5 - 04. Αθήνα.flac,,25427968
/Volumes/dotad/MUSIC/Rinky Dinky/(2021) Ice Cream Song/Rinky Dinky - (2021) Ice Cream Song - 01. Ice Cream Song.flac,,25427968
/Volumes/dotad/MUSIC/Roger Eno and Brian Eno/(2020) Mixing Colours/Roger Eno and Brian Eno - (2020) Mixing Colours - 01. Spring Frost.flac,,25427968
